publn_claim_id,process
US3858543_1,0
US3858543_2,0
US3858543_3,0
US3858543_4,0
US3858560_1,0
US3858560_2,0
US3858560_3,0
US3858560_4,0
US3858560_5,0
US3858560_6,0
US3858811_1,0
US3858811_2,0
US3859129_1,1
US3859395_1,0
US3859413_1,1
US3859491_1,1
US3859491_2,1
US3859491_3,1
US3859797_1,1
US3860441_1,1
US3860512_1,1
US3860524_1,0
US3860914_1,0
US3861024_1,1
US3861024_2,1
US3861024_3,1
US3861381_1,0
US3861381_2,0
US3861831_1,0
US3861843_1,1
US3861854_1,0
US3861854_2,0
US3861931_1,1
US3861999_1,0
US3862034_1,0
US3862100_1,0
US3862100_2,0
US3862100_3,0
US3862100_4,1
US3862100_5,1
US3862100_6,0
US3862377_1,0
US3862377_2,0
US3862382_1,0
US3862382_2,0
US3862388_1,0
US3862388_2,0
US3862666_1,0
US3862666_2,0
US3862666_3,0
US3862666_4,0
US3862666_5,0
US3862666_6,0
US3862666_7,0
US3863314_1,1
US3863369_1,0
US3864294_1,0
US3864294_2,0
US3864306_1,0
US3864573_1,1
US3864573_10,1
US3864573_11,1
US3864573_12,1
US3864573_13,1
US3864573_14,1
US3864573_15,1
US3864573_16,1
US3864573_17,1
US3864573_18,1
US3864573_19,1
US3864573_2,1
US3864573_20,1
US3864573_21,1
US3864573_22,1
US3864573_23,1
US3864573_24,1
US3864573_3,1
US3864573_4,1
US3864573_5,1
US3864573_6,1
US3864573_7,1
US3864573_8,1
US3864573_9,1
US3864595_1,0
US3864595_2,0
US3865134_1,0
US3865412_1,0
US3865412_2,0
US3865676_1,0
US3865881_1,1
US3866192_1,0
US3866213_1,0
US3866405_1,0
US3867230_1,1
US3867230_2,1
US3867230_3,1
US3867467_1,0
US3868059_1,0
US3868208_1,1
US3868580_1,0
US3868580_2,0
US3868638_1,1
US3868919_1,1
US3868919_2,1
US3868919_3,1
US3868919_4,1
US3869237_1,1
US3869237_2,1
US3869237_3,1
US3869363_1,1
US3869408_1,1
US3869408_2,1
US3870070_1,1
US3870070_2,1
US3870166_1,1
US3870166_2,1
US3870181_1,0
US3870181_2,0
US3870223_1,0
US3870223_2,0
US3870223_3,0
US3870223_4,0
US3870396_1,0
US3870396_2,0
US3870396_3,0
US3870446_1,1
US3870446_2,1
US3870491_1,0
US3870491_2,0
US3870491_3,0
US3870593_1,0
US3870593_2,0
US3870765_1,1
US3870765_2,1
US3870815_1,1
US3870815_2,1
US3871077_1,0
US3871077_2,0
US3871077_3,0
US3871077_4,0
US3871077_5,0
US3871077_6,0
US3871077_7,0
US3871077_8,0
US3871077_9,0
US3871244_1,0
US3871244_2,0
US3871244_3,0
US3871244_4,0
US3871244_5,0
US3871244_6,0
US3871244_7,0
US3871486_1,0
US3871514_1,0
US3871514_2,0
US3871514_3,0
US3871721_1,0
US3871721_2,0
US3871736_1,0
US3871736_2,0
US3871736_3,0
US3871750_1,0
US3871750_2,0
US3871750_3,0
US3871750_4,0
US3871863_1,0
US3871974_1,0
US3872005_1,0
US3872005_2,0
US3872162_1,1
US3872229_1,1
US3872230_1,1
US3872230_2,1
US3872230_3,1
US3872538_1,0
US3872538_2,0
US3872538_3,0
US3872538_4,0
US3872573_1,1
US3872573_2,1
US3872573_3,1
US3872701_1,1
US3873088_1,0
US3873211_1,1
US3873374_1,1
US3873374_2,0
US3873391_1,1
US3873391_2,1
US3873660_1,1
US3873660_2,1
US3873660_3,1
US3873660_4,1
US3873661_1,1
US3873661_2,1
US3873732_1,0
US3873732_2,0
US3873732_3,0
US3873748_1,1
US3874333_1,1
US3874333_2,1
US3876131_1,0
US3876131_2,0
US3876463_1,0
US3876463_2,0
US3876467_1,1
US3876791_1,0
US3876791_2,0
US3876791_3,0
US3876806_1,1
US3876806_10,1
US3876806_11,1
US3876806_12,1
US3876806_13,1
US3876806_2,1
US3876806_3,1
US3876806_4,1
US3876806_5,1
US3876806_6,1
US3876806_7,1
US3876806_8,1
US3876806_9,1
US3877042_1,0
US3877042_2,0
US3877112_1,0
US3877112_2,0
US3877123_1,0
US3877123_2,0
US3877634_1,1
US3877634_2,1
US3877634_3,1
US3877883_1,1
US3878571_1,0
US3878571_2,0
US3878605_1,0
US3878605_2,0
US3878605_3,0
US3878605_4,0
US3878795_1,0
US3878795_2,0
US3878875_1,0
US3879488_1,0
US3879488_2,0
US3879488_3,0
US3879524_1,0
US3879524_2,0
US3880481_1,0
US3880752_1,0
US3880752_2,0
US3880756_1,0
US3880756_2,0
US3880876_1,1
US3881192_1,0
US3881301_1,0
US3881301_2,0
US3881301_3,0
US3881301_4,0
US3881301_5,0
US3881301_6,0
US3881394_1,0
US3881394_2,0
US3881473_1,0
US3881473_2,0
US3881473_3,1
US3881882_1,0
US3881882_2,1
US3881882_3,1
US3882025_1,0
US3882025_2,0
US3882025_3,0
US3882025_4,0
US3882111_1,0
US3882111_2,0
US3882111_3,0
US3882111_4,1
US3882213_1,1
US3882213_2,1
US3882216_1,1
US3882247_1,0
US3882247_2,0
US3882384_1,0
US3882842_1,0
US3882842_2,0
US3882868_1,0
US3882868_2,1
US3883147_1,0
US3883147_2,0
US3883358_1,0
US3883594_1,0
US3884011_1,0
US3884048_1,0
US3884629_1,0
US3884629_2,0
US3884804_1,0
US3884804_2,0
US3885635_1,0
US3885635_2,0
US3885692_1,1
US3885692_2,1
US3885941_1,1
US3885947_1,0
US3886293_1,0
US3886293_10,1
US3886293_11,1
US3886293_12,1
US3886293_13,1
US3886293_14,1
US3886293_15,1
US3886293_16,1
US3886293_17,0
US3886293_18,0
US3886293_19,0
US3886293_2,0
US3886293_20,0
US3886293_21,0
US3886293_22,0
US3886293_23,0
US3886293_3,0
US3886293_4,0
US3886293_5,0
US3886293_6,0
US3886293_7,0
US3886293_8,0
US3886293_9,0
US3886744_1,0
US3886744_2,0
US3887259_1,0
US3887259_2,0
US3887259_3,0
US3887259_4,0
US3887471_1,0
US3887471_2,0
US3887471_3,0
US3887471_4,0
US3887471_5,0
US3887531_1,0
US3887531_2,0
US3887701_1,0
US3887701_2,0
US3887701_3,0
US3887767_1,0
US3887767_2,0
US3887767_3,0
US3887767_4,0
US3887767_5,0
US3887767_6,0
US3888114_1,0
US3888114_2,0
US3888114_3,0
US3888583_1,0
US3888583_2,0
US3888583_3,0
US3888671_1,0
US3888671_2,0
US3888801_1,0
US3888801_2,0
US3888801_3,0
US3888801_4,1
US3888801_5,1
US3888801_6,1
US3888817_1,0
US3888817_2,0
US3888817_3,0
US3888861_1,0
US3888939_1,0
US3888939_2,0
US3888973_1,1
US3888973_2,1
US3889023_1,0
US3889201_1,0
US3889275_1,0
US3889275_2,0
US3889275_3,0
US3889334_1,0
US3889334_2,0
US3889334_3,0
US3889445_1,1
US3889445_2,1
US3889494_1,0
US3889494_2,0
US3890195_1,1
